"","sample_id","cluster","M1_layer","MTG_layer_transfer"
"M1_SM-GE8WW_S183_E1-50","SM-GE8WW_S183_E1-50","Exc L5 THEMIS FGF10","L6","L5"
"M1_SM-GE8WW_S185_E1-50","SM-GE8WW_S185_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE8WW_S186_E1-50","SM-GE8WW_S186_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L5"
"M1_SM-GE8WW_S189_E1-50","SM-GE8WW_S189_E1-50","Exc L3-5 RORB RPRM","L6","L4"
"M1_SM-GE8WW_S190_E1-50","SM-GE8WW_S190_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
"M1_SM-GE8WW_S191_E1-50","SM-GE8WW_S191_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8WX_S097_E1-50","SM-GE8WX_S097_E1-50","Exc L2-3 RORB PTPN3","L2","L3"
"M1_SM-GE8WX_S098_E1-50","SM-GE8WX_S098_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE8WX_S099_E1-50","SM-GE8WX_S099_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE8WX_S101_E1-50","SM-GE8WX_S101_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE8WX_S105_E1-50","SM-GE8WX_S105_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE8WX_S106_E1-50","SM-GE8WX_S106_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE8WX_S108_E1-50","SM-GE8WX_S108_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE8WX_S109_E1-50","SM-GE8WX_S109_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE8WX_S122_E1-50","SM-GE8WX_S122_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S125_E1-50","SM-GE8WX_S125_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8WX_S126_E1-50","SM-GE8WX_S126_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE8WX_S127_E1-50","SM-GE8WX_S127_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE8WX_S129_E1-50","SM-GE8WX_S129_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S131_E1-50","SM-GE8WX_S131_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8WX_S133_E1-50","SM-GE8WX_S133_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S138_E1-50","SM-GE8WX_S138_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S139_E1-50","SM-GE8WX_S139_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE8WX_S140_E1-50","SM-GE8WX_S140_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S143_E1-50","SM-GE8WX_S143_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8WX_S145_E1-50","SM-GE8WX_S145_E1-50","Exc L3-5 FEZF2 ASGR2","L6","L5"
"M1_SM-GE8WX_S147_E1-50","SM-GE8WX_S147_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8WX_S148_E1-50","SM-GE8WX_S148_E1-50","Exc L5 THEMIS SLC22A18","L6","L5"
"M1_SM-GE8WX_S153_E1-50","SM-GE8WX_S153_E1-50","Exc L5 THEMIS VILL","L6","L6"
"M1_SM-GE8WX_S154_E1-50","SM-GE8WX_S154_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE8WX_S155_E1-50","SM-GE8WX_S155_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE8WX_S156_E1-50","SM-GE8WX_S156_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE8WX_S157_E1-50","SM-GE8WX_S157_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE8WX_S158_E1-50","SM-GE8WX_S158_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE8WX_S159_E1-50","SM-GE8WX_S159_E1-50","Exc L5 THEMIS SLC22A18","L6","L5"
"M1_SM-GE8WX_S161_E1-50","SM-GE8WX_S161_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE8WX_S163_E1-50","SM-GE8WX_S163_E1-50","Exc L5 THEMIS VILL","L6","L6"
"M1_SM-GE8WX_S165_E1-50","SM-GE8WX_S165_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8WX_S167_E1-50","SM-GE8WX_S167_E1-50","Exc L5 FEZF2 RNF144A-AS1","L6","L5"
"M1_SM-GE8WX_S173_E1-50","SM-GE8WX_S173_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE8WX_S174_E1-50","SM-GE8WX_S174_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8WX_S175_E1-50","SM-GE8WX_S175_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8WX_S177_E1-50","SM-GE8WX_S177_E1-50","Exc L5 THEMIS RGPD6","L6","L6"
"M1_SM-GE8WX_S178_E1-50","SM-GE8WX_S178_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE8WX_S180_E1-50","SM-GE8WX_S180_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L5"
"M1_SM-GE8X1_S001_E1-50","SM-GE8X1_S001_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S002_E1-50","SM-GE8X1_S002_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S003_E1-50","SM-GE8X1_S003_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S004_E1-50","SM-GE8X1_S004_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S005_E1-50","SM-GE8X1_S005_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE8X1_S006_E1-50","SM-GE8X1_S006_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S009_E1-50","SM-GE8X1_S009_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE8X1_S010_E1-50","SM-GE8X1_S010_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE8X1_S013_E1-50","SM-GE8X1_S013_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S015_E1-50","SM-GE8X1_S015_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S017_E1-50","SM-GE8X1_S017_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S019_E1-50","SM-GE8X1_S019_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE8X1_S021_E1-50","SM-GE8X1_S021_E1-50","Exc L2-3 RORB PTPN3","L3","L4"
"M1_SM-GE8X1_S022_E1-50","SM-GE8X1_S022_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S023_E1-50","SM-GE8X1_S023_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE8X1_S025_E1-50","SM-GE8X1_S025_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X1_S026_E1-50","SM-GE8X1_S026_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S027_E1-50","SM-GE8X1_S027_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S028_E1-50","SM-GE8X1_S028_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S030_E1-50","SM-GE8X1_S030_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S031_E1-50","SM-GE8X1_S031_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S033_E1-50","SM-GE8X1_S033_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S036_E1-50","SM-GE8X1_S036_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X1_S037_E1-50","SM-GE8X1_S037_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S038_E1-50","SM-GE8X1_S038_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S039_E1-50","SM-GE8X1_S039_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S041_E1-50","SM-GE8X1_S041_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S042_E1-50","SM-GE8X1_S042_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S044_E1-50","SM-GE8X1_S044_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X1_S046_E1-50","SM-GE8X1_S046_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S047_E1-50","SM-GE8X1_S047_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S105_E1-50","SM-GE8X1_S105_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S107_E1-50","SM-GE8X1_S107_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S108_E1-50","SM-GE8X1_S108_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S110_E1-50","SM-GE8X1_S110_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S115_E1-50","SM-GE8X1_S115_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S117_E1-50","SM-GE8X1_S117_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S118_E1-50","SM-GE8X1_S118_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S119_E1-50","SM-GE8X1_S119_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X1_S121_E1-50","SM-GE8X1_S121_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE8X1_S124_E1-50","SM-GE8X1_S124_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S125_E1-50","SM-GE8X1_S125_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S130_E1-50","SM-GE8X1_S130_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S131_E1-50","SM-GE8X1_S131_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X1_S132_E1-50","SM-GE8X1_S132_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S135_E1-50","SM-GE8X1_S135_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X1_S137_E1-50","SM-GE8X1_S137_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X1_S138_E1-50","SM-GE8X1_S138_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S139_E1-50","SM-GE8X1_S139_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S141_E1-50","SM-GE8X1_S141_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S142_E1-50","SM-GE8X1_S142_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X1_S143_E1-50","SM-GE8X1_S143_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X1_S148_E1-50","SM-GE8X1_S148_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE8X1_S149_E1-50","SM-GE8X1_S149_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L5"
"M1_SM-GE8X1_S150_E1-50","SM-GE8X1_S150_E1-50","Exc L5 THEMIS LINC01116","L6","L6"
"M1_SM-GE8X1_S151_E1-50","SM-GE8X1_S151_E1-50","Exc L5 THEMIS RGPD6","L6","L6"
"M1_SM-GE8X1_S157_E1-50","SM-GE8X1_S157_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8X1_S159_E1-50","SM-GE8X1_S159_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8X2_S002_E1-50","SM-GE8X2_S002_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X2_S003_E1-50","SM-GE8X2_S003_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X2_S004_E1-50","SM-GE8X2_S004_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X2_S006_E1-50","SM-GE8X2_S006_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X2_S017_E1-50","SM-GE8X2_S017_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE8X2_S020_E1-50","SM-GE8X2_S020_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X2_S021_E1-50","SM-GE8X2_S021_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X2_S022_E1-50","SM-GE8X2_S022_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X2_S023_E1-50","SM-GE8X2_S023_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X2_S026_E1-50","SM-GE8X2_S026_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X2_S028_E1-50","SM-GE8X2_S028_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE8X2_S029_E1-50","SM-GE8X2_S029_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X2_S031_E1-50","SM-GE8X2_S031_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X2_S034_E1-50","SM-GE8X2_S034_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE8X2_S037_E1-50","SM-GE8X2_S037_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X2_S039_E1-50","SM-GE8X2_S039_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X2_S041_E1-50","SM-GE8X2_S041_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X2_S043_E1-50","SM-GE8X2_S043_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE8X3_S001_E1-50","SM-GE8X3_S001_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X3_S002_E1-50","SM-GE8X3_S002_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X3_S003_E1-50","SM-GE8X3_S003_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X3_S004_E1-50","SM-GE8X3_S004_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE8X3_S005_E1-50","SM-GE8X3_S005_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE8X3_S006_E1-50","SM-GE8X3_S006_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X3_S007_E1-50","SM-GE8X3_S007_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE8X3_S010_E1-50","SM-GE8X3_S010_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE8X3_S011_E1-50","SM-GE8X3_S011_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X3_S012_E1-50","SM-GE8X3_S012_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X3_S013_E1-50","SM-GE8X3_S013_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X3_S014_E1-50","SM-GE8X3_S014_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X3_S015_E1-50","SM-GE8X3_S015_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE8X3_S018_E1-50","SM-GE8X3_S018_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE8X3_S021_E1-50","SM-GE8X3_S021_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE8X3_S022_E1-50","SM-GE8X3_S022_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE8X3_S023_E1-50","SM-GE8X3_S023_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE8X3_S034_E1-50","SM-GE8X3_S034_E1-50","Exc L3-5 RORB TNNT2","L5","L6"
"M1_SM-GE8X3_S035_E1-50","SM-GE8X3_S035_E1-50","Exc L3 LAMP5 CARM1P1","L5","L3"
"M1_SM-GE8X3_S036_E1-50","SM-GE8X3_S036_E1-50","Exc L3-5 FEZF2 ASGR2","L5","L5"
"M1_SM-GE8X3_S037_E1-50","SM-GE8X3_S037_E1-50","Exc L5 FEZF2 PKD2L1","L5","L5"
"M1_SM-GE8X3_S041_E1-50","SM-GE8X3_S041_E1-50","Exc L3 THEMIS ENPEP","L5","L4"
"M1_SM-GE8X3_S042_E1-50","SM-GE8X3_S042_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE8X3_S043_E1-50","SM-GE8X3_S043_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S073_E1-50","SM-GE8X3_S073_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE8X3_S074_E1-50","SM-GE8X3_S074_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE8X3_S075_E1-50","SM-GE8X3_S075_E1-50","Exc L5 THEMIS FGF10","L6","L5"
"M1_SM-GE8X3_S076_E1-50","SM-GE8X3_S076_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE8X3_S079_E1-50","SM-GE8X3_S079_E1-50","Exc L5 FEZF2 PKD2L1","L6","L5"
"M1_SM-GE8X3_S084_E1-50","SM-GE8X3_S084_E1-50","Exc L3-5 RORB LNX2","L6","L5"
"M1_SM-GE8X3_S085_E1-50","SM-GE8X3_S085_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE8X3_S086_E1-50","SM-GE8X3_S086_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE8X3_S089_E1-50","SM-GE8X3_S089_E1-50","Exc L6 FEZF2 KLK7","L6","L6"
"M1_SM-GE8X3_S090_E1-50","SM-GE8X3_S090_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE8X3_S091_E1-50","SM-GE8X3_S091_E1-50","Exc L5 RORB MED8","L6","L5"
"M1_SM-GE8X3_S093_E1-50","SM-GE8X3_S093_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE8X3_S094_E1-50","SM-GE8X3_S094_E1-50","Exc L3-5 RORB LNX2","L6","L5"
"M1_SM-GE8X3_S095_E1-50","SM-GE8X3_S095_E1-50","Exc L3-5 RORB LNX2","L6","L4"
"M1_SM-GE8X3_S097_E1-50","SM-GE8X3_S097_E1-50","Exc L3-5 RORB RPRM","L5","L5"
"M1_SM-GE8X3_S098_E1-50","SM-GE8X3_S098_E1-50","Exc L3-5 RORB LAMA4","L5","L4"
"M1_SM-GE8X3_S099_E1-50","SM-GE8X3_S099_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S100_E1-50","SM-GE8X3_S100_E1-50","Exc L3 THEMIS ENPEP","L5","L4"
"M1_SM-GE8X3_S101_E1-50","SM-GE8X3_S101_E1-50","Exc L3 THEMIS ENPEP","L5","L3"
"M1_SM-GE8X3_S102_E1-50","SM-GE8X3_S102_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S103_E1-50","SM-GE8X3_S103_E1-50","Exc L5 RORB MED8","L5","L5"
"M1_SM-GE8X3_S106_E1-50","SM-GE8X3_S106_E1-50","Exc L5 FEZF2 PKD2L1","L5","L5"
"M1_SM-GE8X3_S107_E1-50","SM-GE8X3_S107_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S108_E1-50","SM-GE8X3_S108_E1-50","Exc L2-3 RORB PTPN3","L5","L3"
"M1_SM-GE8X3_S109_E1-50","SM-GE8X3_S109_E1-50","Exc L3-5 RORB LNX2","L5","L5"
"M1_SM-GE8X3_S110_E1-50","SM-GE8X3_S110_E1-50","Exc L3 THEMIS ENPEP","L5","L3"
"M1_SM-GE8X3_S111_E1-50","SM-GE8X3_S111_E1-50","Exc L3 THEMIS ENPEP","L5","L6"
"M1_SM-GE8X3_S114_E1-50","SM-GE8X3_S114_E1-50","Exc L3-5 RORB RPRM","L5","L4"
"M1_SM-GE8X3_S115_E1-50","SM-GE8X3_S115_E1-50","Exc L3 RORB OTOGL","L5","L4"
"M1_SM-GE8X3_S116_E1-50","SM-GE8X3_S116_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S117_E1-50","SM-GE8X3_S117_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE8X3_S126_E1-50","SM-GE8X3_S126_E1-50","Exc L2 LINC00507 GLRA3","L5","L2"
"M1_SM-GE8X3_S127_E1-50","SM-GE8X3_S127_E1-50","Exc L3 LAMP5 CARM1P1","L5","L3"
"M1_SM-GE8X3_S153_E1-50","SM-GE8X3_S153_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE8X3_S154_E1-50","SM-GE8X3_S154_E1-50","Exc L5 THEMIS FGF10","L6","L5"
"M1_SM-GE8X3_S155_E1-50","SM-GE8X3_S155_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE8X3_S156_E1-50","SM-GE8X3_S156_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8X3_S158_E1-50","SM-GE8X3_S158_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE8X3_S159_E1-50","SM-GE8X3_S159_E1-50","Exc L5 THEMIS SLC22A18","L6","L5"
"M1_SM-GE8X3_S161_E1-50","SM-GE8X3_S161_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8X3_S162_E1-50","SM-GE8X3_S162_E1-50","Exc L3-5 RORB RPRM","L6","L5"
"M1_SM-GE8X3_S163_E1-50","SM-GE8X3_S163_E1-50","Exc L5 THEMIS VILL","L6","L6"
"M1_SM-GE8X3_S164_E1-50","SM-GE8X3_S164_E1-50","Exc L3-5 RORB LNX2","L6","L4"
"M1_SM-GE8X3_S165_E1-50","SM-GE8X3_S165_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8X3_S173_E1-50","SM-GE8X3_S173_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE8X3_S175_E1-50","SM-GE8X3_S175_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE8X3_S178_E1-50","SM-GE8X3_S178_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE8X3_S179_E1-50","SM-GE8X3_S179_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8X3_S186_E1-50","SM-GE8X3_S186_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE8X3_S187_E1-50","SM-GE8X3_S187_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE8X3_S188_E1-50","SM-GE8X3_S188_E1-50","Exc L6 FEZF2 KLK7","L6","L6"
"M1_SM-GE8X3_S189_E1-50","SM-GE8X3_S189_E1-50","Exc L5 THEMIS LINC01116","L6","L5"
"M1_SM-GE8X3_S190_E1-50","SM-GE8X3_S190_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
"M1_SM-GE8X3_S191_E1-50","SM-GE8X3_S191_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L6"
"M1_SM-GE67V_S001_E1-50","SM-GE67V_S001_E1-50","Exc L3-5 FEZF2 ASGR2","L5","L5"
"M1_SM-GE67V_S002_E1-50","SM-GE67V_S002_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67V_S004_E1-50","SM-GE67V_S004_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L6"
"M1_SM-GE67V_S005_E1-50","SM-GE67V_S005_E1-50","Exc L3-5 RORB TNNT2","L5","L4"
"M1_SM-GE67V_S006_E1-50","SM-GE67V_S006_E1-50","Exc L3 RORB OTOGL","L5","L4"
"M1_SM-GE67V_S009_E1-50","SM-GE67V_S009_E1-50","Exc L3-5 RORB LINC01202","L5","L4"
"M1_SM-GE67V_S010_E1-50","SM-GE67V_S010_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67V_S011_E1-50","SM-GE67V_S011_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67V_S012_E1-50","SM-GE67V_S012_E1-50","Exc L3-5 RORB RPRM","L5","L4"
"M1_SM-GE67V_S013_E1-50","SM-GE67V_S013_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE67V_S014_E1-50","SM-GE67V_S014_E1-50","Exc L3-5 RORB LINC01202","L5","L5"
"M1_SM-GE67V_S015_E1-50","SM-GE67V_S015_E1-50","Exc L5 FEZF2 CSN1S1","L5","L5"
"M1_SM-GE67V_S018_E1-50","SM-GE67V_S018_E1-50","Exc L3-5 RORB LNX2","L5","L5"
"M1_SM-GE67V_S019_E1-50","SM-GE67V_S019_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE67V_S020_E1-50","SM-GE67V_S020_E1-50","Exc L3-5 FEZF2 ASGR2","L5","L5"
"M1_SM-GE67V_S021_E1-50","SM-GE67V_S021_E1-50","Exc L3-5 RORB LINC01202","L5","L5"
"M1_SM-GE67V_S022_E1-50","SM-GE67V_S022_E1-50","Exc L5 FEZF2 RNF144A-AS1","L5","L5"
"M1_SM-GE67V_S023_E1-50","SM-GE67V_S023_E1-50","Exc L3 THEMIS ENPEP","L5","L3"
"M1_SM-GE67V_S057_E1-50","SM-GE67V_S057_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE67V_S058_E1-50","SM-GE67V_S058_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE67V_S059_E1-50","SM-GE67V_S059_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE67V_S061_E1-50","SM-GE67V_S061_E1-50","Exc L3-5 RORB LNX2","L6","L4"
