tree_order,Zizen's new cluster_ids,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,VISp_ALM_best_match,Notes
22,21,22,Vip Mybpc1_1,#F70CF3,126,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_18,#FF4DC1,Vip_3,#B865CC,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Gcnt4,Vip Gcnt4,#992E81,Vip Crispld2 Htr2c; Vip Crispld2 Kcne4,
21,22,21,Vip Mybpc1_2,#992E81,416,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_19,#992E81,Vip_2,#C784D6,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Gcnt4,Vip Gcnt4,#992E81,Vip Lmo1 Myl1,
24,23,24,Vip Mybpc1_3,#AB379C,153,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_16,#AB379C,Vip_1,#D5A4E1,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Chat,Vip Chat,#FF00FF,Vip Igfbp4 Mab21l1; Vip Lect1 Oxtr,
23,24,23,Vip Chat_1,#FF00FF,561,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_2,#FF00FF,Vip_1,#D5A4E1,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Chat,Vip Chat,#FF00FF,Vip Ptprt Pkp2,
25,25,25,Vip Chat_2,#B3128A,177,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_2,#FF00FF,Vip_1,#D5A4E1,,4,CGE-VipNdnf_Vip-Ano4,CGE-VipNdnf_Vip-Ano4,,,Vip Wnt5b,#A720FF,Vip_Chat,Vip Chat,#FF00FF,Vip Rspo4 Rxfp1 Chat; Vip Rspo1 Itga4,
26,26,26,Vip Igfbp6_1,#7779BF,185,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_11,#7779BF,Vip_4,#9450A4,,6,CGE-VipNdnf_Vip-Prr16,CGE-VipNdnf_Vip-Prr16,,,Vip Crh,#B09FFF,Vip_Lipg,Vip Lipg,#B09FFF,Vip Igfbp6 Pltp,
27,27,27,Vip Igfbp6_2,#626EB8,144,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_11,#7779BF,Vip_4,#9450A4,,6,CGE-VipNdnf_Vip-Prr16,CGE-VipNdnf_Vip-Prr16,,,Vip Crh,#B09FFF,Vip_Lipg,Vip Lipg,#B09FFF,Vip Igfbp6 Car10,
28,28,28,Sst Chodl,#FFFF00,164,GABAergic,#C95170,Sst Chodl,#FFEA00,MGE,#CE4D36,Sst,#C06829,I_38,#FFFF00,Sst Chodl,#FFEA00,Long-range projecting Sst,7,MGE-Sst_Chodl,MGE-Sst_Chodl,,,Sst Chodl,#FFFF00,Chodl,Sst Chodl,#FFFF00,Sst Chodl,
29,29,29,Sst Penk,#FF8011,97,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_45,#FF8011,Sst_2,#FFAE36,,8,MGE-Sst_Gfra2,MGE-Sst_Gfra2,,,Sst Scg5,#FF8011,Sst_Chrna2_Myh8,Sst Myh8,#FF8011,Sst Myh8 Fibin,
30,30,30,Sst Myh8_1,#FF9F2C,556,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_7,#FF9F2C,Sst_2,#FFAE36,,8,MGE-Sst_Gfra2,MGE-Sst_Gfra2,,,Sst Scg5,#FF8011,Sst_Chrna2_Myh8,Sst Myh8,#FF8011,Sst Chrna2 Glra3,
31,31,31,Sst Myh8_2,#FFB307,116,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_6,#FFB307,Sst_1,#FFC369,,8,MGE-Sst_Gfra2,MGE-Sst_Gfra2,,,Sst Scg5,#FF8011,Sst_Chrna2_Myh8,Sst Myh8,#FF8011,Sst Chrna2 Ptgdr,
32,32,32,Sst Myh8_3,#FFBF09,72,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_6,#FFB307,Sst_1,#FFC369,,8,MGE-Sst_Gfra2,MGE-Sst,,,Sst Scg5,#FF8011,Sst_Chrna2_Myh8,Sst Myh8,#FF8011,Sst Tac2 Myh4,
33,33,33,Sst Htr1a,#BFAF00,130,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_6,#FFB307,Sst_1,#FFC369,,9,MGE-Sst_Prep,MGE-Sst,,,Sst Htr1a,#BFAF00,Sst_Chrna2_Myh8,Sst Myh8,#FF8011,Sst Hpse Sema3c,
34,34,34,Sst Etv1,#FFB22B,65,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_7,#FF9F2C,Sst_2,#FFAE36,,10,MGE-Sst_Whrn,MGE-Sst_Whrn,,,Sst Kirrel3,#FFB22B,Sst_Man1a,Sst Man1a,#FFB22B,Sst Myh8 Etv1,
