tree_order,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,Notes,old_order,old_cluster_color
34,34,Inh SST ABI3BP,#eaa931,152,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_13,#D2A328,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_SST_CSMD2,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,57,#78E4AA
35,35,Inh SST TMEFF2,#de9300,134,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_8,#CDB115,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_PVALB,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,58,#7BE4AB
36,36,Inh SST P4HA1,#f19c00,375,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_8,#CDB115,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,Inh_MGE_SST_CSMD2,,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,59,#02A80B
40,40,Inh SST PCSK5,#de7d00,541,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_8,#CDB115,Sst_3,#FFA41C,,11,Inh_MGE_SST_CSMD2,Inh_MGE_SST_CDH7,,,Inh SST COL11A1,#cc7b00,4,Inh SST ABI3BP,#FFEA00,,64,#7BE6AB
47,47,Inh PVALB SST LRRC6,#fa8d00,149,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_37,#ffb82f,Sst_3,#FFA41C,,0,Inh_MGE_SST_CDH7,,Inh_MGE_PVALB_B3GLCT,,Inh SST ABI3BP,#FFEA00,4,Inh SST ABI3BP,#FFEA00,,72,#7BE7AB
37,37,Inh SST LTBP1,#ff8d1d,209,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_10,#BE8652,Sst_4,#FF9A02,,11,Inh_MGE_SST_CSMD2,Inh_MGE_SST_CDH7,,,Inh SST COL11A1,#cc7b00,4,Inh SST ABI3BP,#FFEA00,,75,#00DDC5
27,27,Inh SST LOC108589054,#cc7b00,113,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_5,#E78B00,,11,Inh_MGE_SST_CSMD2,Inh_CGEMGE_MYT1,,,Inh SST COL11A1,#cc7b00,4,Inh SST ABI3BP,#FFEA00,,62,#1D6766
28,28,Inh SST LOC108588801,#fbaa00,186,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_6,#CE7B00,,11,Inh_MGE_SST_CSMD2,Inh_CGEMGE_MYT1,,,Inh SST COL11A1,#cc7b00,4,Inh SST ABI3BP,#FFEA00,,65,#9F9820
29,29,Inh SST LOC103788138,#f4b028,54,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_40,#9B211B,Sst_7,#9A5C00,,11,Inh_MGE_SST_CSMD2,Inh_MGE_SST_CDH7,,,Inh SST COL11A1,#cc7b00,4,Inh SST ABI3BP,#FFEA00,,63,#A39A23
19,19,Inh VIP LOC108589153,#7a3990,173,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_2,#FF00FF,Vip_1,#D5A4E1,,8,Inh_CGE_VIP_CA10,Inh_MGE_SST_ALCAM,,,Inh VIP FIGN,#a20798,3,Inh VIP LOC103791740,#9047cc,,70,#A09723
20,20,Inh VIP FIGN,#8e27ad,551,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_2,#FF00FF,Vip_1,#D5A4E1,,8,Inh_CGE_VIP_CA10,Inh_MGE_SST_ALCAM,,,Inh VIP FIGN,#a20798,3,Inh VIP LOC103791740,#9047cc,,61,#335280
16,16,Inh VIP LOC100397259,#9047cc,256,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_19,#992E81,Vip_2,#C784D6,,7,Inh_CGE_VIP_NKAIN1,,Inh_MGE_SST_ALCAM,,Inh VIP LOC100397259,#9047cc,3,Inh VIP LOC103791740,#9047cc,,73,#73CA95
17,17,Inh GAD1 NPSR1,#d597ff,108,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_19,#992E81,Vip_2,#C784D6,,7,Inh_CGE_VIP_NKAIN1,,Inh_MGE_SST_ALCAM,,Inh VIP LOC100397259,#9047cc,3,Inh VIP LOC103791740,#9047cc,,60,#216666
18,18,Inh SNCG LOC108587895,#a20798,260,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_16,#AB379C,Vip_2,#C784D6,,8,Inh_CGE_VIP_CA10,Inh_MGE_SST_CSMD2,Inh_MGE_SST_ALCAM,,Inh VIP FIGN,#a20798,3,Inh VIP LOC103791740,#9047cc,,22,#E67B73
24,24,Inh VIP CIT,#b488dc,304,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_33,#9d73c6,Vip_2,#C784D6,,6,Inh_CGE_VIP_B3GLCT,,Inh_CGE_NDNF_NTNG1,,Inh VIP ARHGAP18,#e591ff,3,Inh VIP LOC103791740,#9047cc,,15,#E67B73
21,21,Inh VIP GPR149,#ee8be1,218,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_18,#FF4DC1,Vip_3,#B865CC,,9,Inh_CGE_VIP_SMOC1,Inh_CGE_NDNF_NTNG1,,,Inh VIP DACH2,#ee8be1,3,Inh VIP LOC103791740,#9047cc,,9,#C77963
22,22,Inh VIP LOC108588071,#c46ab9,364,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_20,#b589de,Vip_3,#B865CC,,9,Inh_CGE_VIP_SMOC1,Inh_CGE_NDNF_NTNG1,,,Inh VIP DACH2,#ee8be1,3,Inh VIP LOC103791740,#9047cc,,36,#FFA388
23,23,Inh VIP VAT1L,#b582ea,201,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_27,#A720FF,Vip_3,#B865CC,,9,Inh_CGE_VIP_SMOC1,Inh_CGE_NDNF_NTNG1,,,Inh VIP DACH2,#ee8be1,3,Inh VIP LOC103791740,#9047cc,,37,#DDACC9
15,15,Inh VIP THSD7B,#e591ff,91,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_11,#7779BF,Vip_4,#9450A4,,6,Inh_CGE_VIP_B3GLCT,Inh_CGE_VIP_CA10,,,Inh VIP ARHGAP18,#e591ff,2,Inh GAD1 THSD7B,#f1757c,,18,#79E5AB
25,25,Inh VIP LOC108588539,#b477f5,102,GABAergic,#C95170,Vip,#B864CC,CGE/PoA,#C456AA,Vip/Sncg,#A531BD,I_36,#e87ddb,Vip_4,#9450A4,,6,Inh_CGE_VIP_B3GLCT,,Inh_CGE_NDNF_NTNG1,,Inh VIP ARHGAP18,#e591ff,3,Inh VIP LOC103791740,#9047cc,,93,#598069
90,90,VLMC PDGFRA C7,#9ca872,143,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,81,#7BE5AC
91,91,VLMC SLC1A3 CEMIP,#46492b,56,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_12,#535948,VLMC,#697255,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,89,#486660
92,92,VLMC SLC1A3 SLC13A3,#3c582b,40,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,33,NonN_Mix1,NonN_ODC,,,Glia OPALIN ST18,#0a3324,24,Glia SLC1A3 FLT1,#b88064,,30,#FFA388
